ID,Name,Equip ID,Value,Material ID,Event Flag,QWC ID,Quantity,Shop Type,Equip Type,Value (SAN),Price Rate
0,,1220,-1,-1,-1,70000101,-1,0,3,-1,1
1,,240,100,-1,-1,-1,-1,0,3,-1,1
2000,,7000000,0,-1,72101000,-1,1,0,0,-1,1
2001,,5000000,0,-1,72101001,-1,1,0,0,-1,1
2002,,22000000,0,-1,72101002,-1,1,0,0,-1,1
2010,,14000000,0,-1,72101011,-1,1,0,0,-1,1
2011,,6000000,0,-1,72101010,-1,1,0,0,-1,1
21000,[Darkmoon Faithful] Darkmoon Ring,20330,-1,200300,-1,-1,-1,0,2,-1,0.5
21001,[Darkmoon Faithful] Darkmoon Blade,3591000,-1,200301,-1,-1,-1,0,3,-1,0.5
21002,[Darkmoon Faithful] Magic Gem,4005,-1,200302,-1,70000101,1,0,3,-1,0.5
21003,[Darkmoon Faithful] Enchanted Gem,4010,-1,200302,-1,70000101,1,0,3,-1,0.5
21004,[Darkmoon Faithful] Twinkling Titanite,1030,-1,200302,-1,70000106,1,0,3,-1,0.5
21005,[Darkmoon Faithful] Yorshka's Chime,18070000,-1,200300,-1,-1,-1,0,0,-1,0.5
21006,[Darkmoon Faithful] Saint's Veil,44500000,-1,200302,-1,-1,-1,0,1,-1,0.5
21007,[Darkmoon Faithful] Saint's Dress,44501000,-1,200303,-1,-1,-1,0,1,-1,0.5
21008,[Darkmoon Faithful] Sunless Veil,22500000,-1,200303,-1,-1,-1,0,1,-1,0.5
21009,[Darkmoon Faithful] Sunless Armor,22501000,-1,200303,-1,-1,-1,0,1,-1,0.5
21010,[Darkmoon Faithful] Sunless Gauntlets,22502000,-1,200303,-1,-1,-1,0,1,-1,0.5
21011,[Darkmoon Faithful] Sunless Leggings,22503000,-1,200303,-1,-1,-1,0,1,-1,0.5
21012,[Darkmoon Faithful] Darkmoon Elixir,3031,-1,200301,-1,-1,-1,0,3,-1,0.5
21013,[Darkmoon Faithful] Priscilla's Scythe,30970000,-1,200300,-1,-1,-1,0,0,-1,0.5
21014,[Darkmoon Faithful] Crown of the Dark Sun,99210000,-1,200302,-1,-1,-1,0,1,-1,0.5
21015,[Darkmoon Faithful] Moonlight Robe,99211000,-1,200302,-1,-1,-1,0,1,-1,0.5
21016,[Darkmoon Faithful] Moonlight Gloves,99212000,-1,200302,-1,-1,-1,0,1,-1,0.5
21017,[Darkmoon Faithful] Moonlight Waistcloth,99213000,-1,200302,-1,-1,-1,0,1,-1,0.5
21018,[Darkmoon Faithful] Yorshka's Spear,9190000,-1,200300,-1,-1,-1,0,0,-1,0.5
