ID,Name,Ongoing Visual FX ID,Ongoing Sound FX ID,Initial Visual FX ID,Initial Sound FX ID,Finish Visual FX ID,Finish Sound FX ID,Hide Start Distance,Hide End Distance,Transform - Protector ID,Ongoing Model Point ID,Initial Model Point ID,Finish Model Point ID,Effect Type,Weapon Enchant ID 0,Play Category,Play Priority,Large Effect Exists,Soul Effect Exists,Invisible Whilst Hidden,Enable Hide Fields,Invisible in Camouflage for Friend,Add Map Area Block Offset,Enable Half Hidden,Is Full Body Protector ID,Is Invisible Weapon,Is Silent,Is Hand Protector ID,Unk,Unk,Unk,Unk,Unk,Decal ID 0,Decal ID 1,Weapon Enchant ID 1,Effect VFX Type 0,Effect VFX Type 1,Body Protector Type,Effect VFX - Dummy ID 0,Effect VFX - Dummy ID 1,Effect VFX - Dummy ID 2,Effect VFX - Dummy ID 3,Effect VFX - Dummy ID 4,Effect VFX - Dummy ID 5,Effect VFX - Dummy ID 6,Effect VFX - Dummy ID 7,Effect VFX - Dummy ID 8,Effect VFX - Dummy ID 9,Effect VFX - Dummy ID 10,Effect VFX - Dummy ID 11,Effect VFX - Dummy ID 12,Effect VFX - Dummy ID 13,Effect VFX - Dummy ID 14,Effect VFX - Dummy ID 15,Unk,Phantom Type,Camouflage Ghost,Unk12,Phantom Param ID,Emissive Intensity Scale,Unk,Body Protector Val,Unk,Ember Intensity Scale
0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
2,Poison,4010,999999996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,21,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
3,Hill,890,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
4,Acid,815,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
5,Toxic,4070,999999995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
6,Bleed,4080,999999994,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,900,0,-1
8,Hidden,24027,-1,-1,-1,-1,-1,17,12,-1,220,-1,-1,0,0,3,2,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
9,Gravity user,20228,-1,-1,-1,-1,-1,-1,-1,-1,236,-1,-1,0,0,3,255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
10,State abnormal recovery [poison],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1
